time,Total interchange,Net generation,Day-ahead demand forecast,Demand
2022-01-01 00:00:00,-3475.0,14636.0,17215.0,18111.0
2022-01-01 01:00:00,-3406.0,14174.0,16443.0,17580.0
2022-01-01 02:00:00,-3195.0,13807.0,15713.0,17002.0
2022-01-01 03:00:00,-3141.0,13274.0,15200.0,16415.0
2022-01-01 04:00:00,-3282.0,12485.0,14903.0,15767.0
2022-01-01 05:00:00,-3369.0,11793.0,14657.0,15162.0
2022-01-01 06:00:00,-3083.0,11424.0,13965.0,14507.0
2022-01-01 07:00:00,-3097.0,10835.0,13494.0,13932.0
2022-01-01 08:00:00,-2794.0,10688.0,13150.0,13482.0
2022-01-01 09:00:00,-2633.0,10573.0,12918.0,13206.0
2022-01-01 10:00:00,-2206.0,10887.0,12852.0,13093.0
2022-01-01 11:00:00,-2186.0,11007.0,12864.0,13193.0
2022-01-01 12:00:00,-2039.0,11460.0,13078.0,13499.0
2022-01-01 13:00:00,-2198.0,11630.0,13446.0,13828.0
2022-01-01 14:00:00,0.0,0.0,27652.0,28434.0
2022-01-01 15:00:00,-2478.0,12295.0,14380.0,14773.0
2022-01-01 16:00:00,-2384.0,12953.0,14846.0,15337.0
2022-01-01 17:00:00,-2744.0,12979.0,15122.0,15723.0
2022-01-01 18:00:00,-2926.0,13073.0,15272.0,15999.0
2022-01-01 19:00:00,-2982.0,13102.0,15320.0,16084.0
2022-01-01 20:00:00,-3194.0,12863.0,15363.0,16057.0
2022-01-01 21:00:00,-3409.0,12817.0,15471.0,16226.0
2022-01-01 22:00:00,-3648.0,13192.0,15865.0,16840.0
2022-01-01 23:00:00,-4110.0,13378.0,16299.0,17488.0
2022-01-02 00:00:00,-3695.0,13670.0,16107.0,17365.0
2022-01-02 01:00:00,-3479.0,13542.0,15777.0,17021.0
2022-01-02 02:00:00,-3482.0,13168.0,15455.0,16650.0
2022-01-02 03:00:00,-3829.0,12326.0,15063.0,16155.0
2022-01-02 04:00:00,-3445.0,12073.0,14572.0,15518.0
2022-01-02 05:00:00,-3875.0,10877.0,14045.0,14752.0
2022-01-02 06:00:00,-3938.0,10153.0,13521.0,14091.0
2022-01-02 07:00:00,-3869.0,9739.0,13056.0,27216.0
2022-01-02 08:00:00,-3507.0,9813.0,12773.0,13320.0
2022-01-02 09:00:00,-3748.0,9402.0,12639.0,13150.0
2022-01-02 10:00:00,-3447.0,9696.0,12663.0,13143.0
2022-01-02 11:00:00,-3544.0,9812.0,12902.0,13356.0
2022-01-02 12:00:00,-3113.0,10669.0,13204.0,13782.0
2022-01-02 13:00:00,-3300.0,11012.0,13637.0,14312.0
2022-01-02 14:00:00,-3077.0,11832.0,14264.0,14909.0
2022-01-02 15:00:00,-3291.0,12290.0,14939.0,15581.0
2022-01-02 16:00:00,-3510.0,12750.0,15528.0,16260.0
2022-01-02 17:00:00,-3685.0,13038.0,15860.0,16723.0
2022-01-02 18:00:00,-3944.0,13036.0,16028.0,16980.0
2022-01-02 19:00:00,-4091.0,12897.0,16064.0,16988.0
2022-01-02 20:00:00,-4065.0,13012.0,16124.0,17077.0
2022-01-02 21:00:00,-3910.0,13405.0,16299.0,17315.0
2022-01-02 22:00:00,-4242.0,13812.0,16880.0,18054.0
2022-01-02 23:00:00,-4751.0,14165.0,17905.0,18916.0
2022-01-03 00:00:00,-4679.0,14199.0,17861.0,18878.0
