date,Day-ahead demand forecast,Net generation,Total interchange,Demand
2022-01-01,1739283,1455168,-366759,1821927
2022-01-02,1827741,1467853,-455630,1923483
2022-01-03,2139653,1727063,-533803,2260866
2022-01-04,859357,2125131,-584043,3613710
2022-01-05,2127166,1657137,-526654,2183791
2022-01-06,2116743,1772959,-408953,2181912
2022-01-07,2159435,1522561,-363562,2267480
2022-01-08,2072626,1756790,-437935,2194725
2022-01-09,2023410,1692898,-414178,2107076
2022-01-10,2224292,1854276,-440177,2294453
2022-01-11,2793101,2040052,-238188,1951015
2022-01-12,2250734,1916743,-396997,2313740
2022-01-13,2165278,1754264,-403525,2157789
2022-01-14,1745918,1426096,-259813,1768238
2022-01-15,2248804,1930130,-441942,2372072
2022-01-16,2181077,1923452,-369831,2293283
2022-01-17,2185581,1829125,-401263,2230388
2022-01-18,2262679,2538914,-656610,1826381
2022-01-19,2197825,1916821,-302415,2219236
2022-01-20,2209645,1852150,-419900,2272050
2022-01-21,1387578,3259452,-626656,3886108
2022-01-22,2217846,2042032,-264008,2306040
2022-01-23,2155892,1757536,-426681,2184217
2022-01-24,2267672,1979444,-317055,2296499
2022-01-25,2200830,1892574,-364112,3158728
2022-01-26,2290214,1981215,-379641,2360856
2022-01-27,2313210,2031265,-347910,2379175
2022-01-28,908424,2937158,-971154,3714500
2022-01-29,2277051,1897335,-472400,2369735
2022-01-30,2233711,1831931,-482791,2314722
2022-01-31,2326773,1885761,-477751,2363512
